,ori,,,
1582891720789,78.83826,-17.990181,3.9786215,DATA
1582891720809,78.53061,-20.524296,4.451297,DATA
1582891720830,78.372314,-19.871962,3.9116344,DATA
1582891720848,78.09152,-19.765118,4.270784,DATA
1582891720887,77.930084,-20.795164,3.9731987,DATA
1582891720888,77.64374,-19.78646,4.1737432,DATA
1582891720904,77.57941,-17.929077,3.616498,DATA
1582891720924,77.218445,-20.179338,3.989096,DATA
1582891720942,76.905426,-20.884249,3.6504784,DATA
1582891720963,76.72705,-18.436813,3.6096854,DATA
1582891720980,76.65735,-17.167343,3.2129679,DATA
1582891721003,76.517426,-18.611303,3.1801784,DATA
1582891721023,76.04065,-20.5384,3.3627965,DATA
1582891721042,76.01102,-19.697676,2.7735183,DATA
1582891721061,75.675964,-20.062983,3.160837,DATA
1582891721096,75.52673,-20.047094,2.319005,DATA
1582891721096,75.54068,-17.760958,2.0326784,DATA
1582891721116,75.40509,-18.148582,1.8880669,DATA
1582891721134,75.33389,-20.834232,1.537947,DATA
1582891721155,75.02869,-21.376703,1.6135337,DATA
1582891721174,75.089325,-18.929274,0.78388,DATA
1582891721193,75.34235,-17.952496,0.14390369,DATA
1582891721213,75.19977,-20.554485,0.16239394,DATA
1582891721231,74.9715,-21.447863,-0.32848868,DATA
1582891721274,74.98511,-20.572563,-0.6305135,DATA
1582891721276,75.166534,-19.190966,-1.5072893,DATA
1582891721289,75.32883,-19.411314,-1.8732406,DATA
1582891721313,75.50989,-20.928938,-2.425121,DATA
1582891721325,75.39642,-22.389536,-2.7325168,DATA
1582891721347,75.63257,-20.96024,-3.5321975,DATA
1582891721366,75.94681,-19.9986,-4.094254,DATA
1582891721385,76.24292,-20.937757,-4.9616575,DATA
1582891721406,76.51318,-20.036398,-5.6409416,DATA
1582891721424,76.87482,-19.661171,-6.0820465,DATA
1582891721456,77.215454,-21.341986,-6.7636995,DATA
1582891721463,77.52573,-20.676577,-7.462196,DATA
1582891721482,77.96814,-20.208406,-8.032968,DATA
1582891721498,78.663635,-18.981655,-8.963557,DATA
1582891721518,79.211975,-19.206865,-9.44489,DATA
1582891721537,79.68912,-20.413898,-10.210382,DATA
1582891721556,80.164856,-19.860779,-10.730656,DATA
1582891721577,80.72333,-19.122868,-11.486637,DATA
1582891721598,81.51218,-17.926992,-12.0818205,DATA
1582891721614,82.19641,-18.699265,-12.692774,DATA
1582891721661,82.73529,-19.220215,-13.386981,DATA
1582891721663,83.45889,-18.089342,-13.714446,DATA
1582891721673,84.23993,-18.075314,-14.361362,DATA
1582891721696,84.7363,-18.889248,-14.7957945,DATA
1582891721708,85.53989,-17.679785,-15.377553,DATA
1582891721728,86.50479,-17.237013,-15.77754,DATA
1582891721748,87.05066,-19.753954,-16.230541,DATA
1582891721768,87.651855,-19.066807,-16.849127,DATA
1582891721790,88.62842,-17.56638,-17.372576,DATA
1582891721807,89.46542,-17.233568,-17.766241,DATA
1582891721846,90.39682,-17.037632,-18.028988,DATA
1582891721846,91.08435,-18.431244,-18.012972,DATA
1582891721865,91.50543,-18.939974,-18.681042,DATA
1582891721881,92.691986,-16.242128,-18.876188,DATA
1582891721901,93.28851,-17.906189,-18.957512,DATA
1582891721920,93.73517,-18.589449,-19.343706,DATA
1582891721939,94.478455,-18.212835,-19.253084,DATA
1582891721960,95.23822,-18.069828,-19.75217,DATA
1582891721981,96.02539,-17.870243,-19.797777,DATA
1582891722001,96.75238,-17.870895,-19.868261,DATA
1582891722045,97.47632,-17.876738,-19.623552,DATA
1582891722046,98.34076,-18.024153,-19.882116,DATA
1582891722054,98.67816,-19.741383,-19.79094,DATA
1582891722074,99.2514,-18.548948,-20.037516,DATA
1582891722103,100.36301,-15.384053,-20.139503,DATA
1582891722111,101.292725,-16.531902,-19.437397,DATA
1582891722131,101.63757,-20.710793,-19.958971,DATA
1582891722151,101.895996,-19.639074,-19.327547,DATA
1582891722173,103.05527,-17.722452,-19.830215,DATA
1582891722189,103.59949,-18.640528,-19.021261,DATA
1582891722221,103.94437,-19.86894,-19.45555,DATA
1582891722226,104.3078,-19.845734,-18.548258,DATA
1582891722250,104.90625,-19.020628,-18.570234,DATA
1582891722272,105.37622,-19.82487,-18.41449,DATA
1582891722284,105.672485,-20.08775,-17.766964,DATA
1582891722303,106.08063,-20.663969,-17.452816,DATA
1582891722322,106.0014,-21.774431,-17.018261,DATA
1582891722345,106.392944,-20.235304,-17.078201,DATA
1582891722365,107.08435,-17.98448,-16.529222,DATA
1582891722382,107.495514,-19.66082,-15.947259,DATA
1582891722400,107.42511,-21.338068,-15.532385,DATA
1582891722431,107.78186,-20.270803,-15.11981,DATA
1582891722439,108.07718,-20.30096,-14.674644,DATA
1582891722460,108.38971,-20.219862,-14.370991,DATA
1582891722482,108.49066,-20.841265,-13.953679,DATA
1582891722496,108.61371,-21.129911,-13.399982,DATA
1582891722516,108.69885,-21.072493,-13.110006,DATA
1582891722535,108.99469,-20.448792,-12.922919,DATA
1582891722557,109.27725,-20.165817,-12.464991,DATA
1582891722574,109.394165,-21.482811,-12.168255,DATA
1582891722620,109.11545,-22.725864,-11.585188,DATA
1582891722622,109.38873,-19.95404,-11.578,DATA
1582891722629,110.03961,-17.35759,-11.544697,DATA
1582891722648,110.1803,-20.967585,-10.66094,DATA
1582891722675,109.59253,-22.917429,-10.494422,DATA
1582891722687,110.18341,-19.374817,-10.472871,DATA
1582891722711,110.64868,-18.732958,-10.074241,DATA
1582891722727,110.72449,-21.126884,-10.066039,DATA
1582891722745,110.96033,-20.216644,-10.053613,DATA
1582891722765,111.08673,-20.816168,-9.178439,DATA
1582891722800,111.28659,-21.536669,-9.670851,DATA
1582891722804,111.12579,-21.382898,-8.799686,DATA
1582891722823,111.63745,-19.217491,-9.28481,DATA
1582891722841,111.914734,-19.314024,-8.485005,DATA
1582891722862,112.00122,-20.985275,-9.007393,DATA
1582891722898,112.1275,-20.378942,-8.644704,DATA
1582891722899,112.59628,-18.658316,-8.723431,DATA
1582891722918,112.74283,-20.208147,-8.12037,DATA
1582891722939,112.919525,-21.001755,-8.469963,DATA
1582891722957,112.9028,-20.838848,-8.2640085,DATA
1582891723003,113.24664,-19.624792,-8.371833,DATA
1582891723003,113.507904,-19.54,-8.013573,DATA
1582891723013,113.69742,-19.768084,-8.441056,DATA
1582891723032,113.97656,-19.656647,-7.891578,DATA
1582891723051,114.22006,-19.868383,-7.7828493,DATA
1582891723077,114.30536,-20.443087,-7.755879,DATA
1582891723091,114.42334,-20.736885,-7.440932,DATA
1582891723119,114.365906,-21.187355,-7.4601684,DATA
1582891723130,114.52026,-20.277695,-7.360136,DATA
1582891723148,114.83771,-19.495525,-7.293479,DATA
1582891723185,115.02655,-19.951834,-7.493282,DATA
1582891723186,115.36624,-19.790148,-7.5593715,DATA
1582891723204,115.291626,-20.991564,-7.012101,DATA
1582891723224,115.47156,-19.865808,-7.274716,DATA
1582891723243,115.575806,-19.303406,-6.7616625,DATA
1582891723268,115.65225,-20.049347,-6.8799586,DATA
1582891723295,115.687256,-20.318853,-6.778711,DATA
1582891723301,115.58603,-20.41463,-6.6167483,DATA
1582891723321,115.96268,-18.209677,-6.898124,DATA
1582891723339,116.29706,-18.327297,-6.634826,DATA
1582891723359,116.07178,-21.278448,-6.54109,DATA
1582891723385,116.280975,-18.805737,-6.5377517,DATA
1582891723396,116.59366,-17.683817,-6.5902762,DATA
1582891723416,116.78183,-17.88057,-6.5342283,DATA
1582891723435,116.97894,-18.054419,-6.2785845,DATA
1582891723456,116.97812,-20.426191,-6.181451,DATA
1582891723477,116.61542,-21.045155,-5.6911635,DATA
1582891723500,117.13812,-17.0776,-6.500819,DATA
1582891723512,117.494934,-16.271145,-6.2666845,DATA
1582891723530,117.63208,-18.235336,-6.2864776,DATA
1582891723569,117.60562,-20.420902,-5.882018,DATA
1582891723569,117.60828,-19.542786,-6.0725617,DATA
1582891723589,117.97717,-18.130005,-5.823534,DATA
1582891723607,118.098206,-20.098513,-5.919914,DATA
1582891723627,117.69086,-22.30299,-5.56061,DATA
1582891723648,118.023865,-19.839666,-5.840839,DATA
1582891723681,118.174835,-19.956656,-5.7105236,DATA
1582891723685,118.490845,-20.21049,-6.1990423,DATA
1582891723719,118.67172,-20.799788,-5.584114,DATA
1582891723723,118.772064,-21.214159,-6.077686,DATA
1582891723742,118.82196,-21.86631,-5.6995707,DATA
